page_name,num_posts,Trump_positive,Trump_negative,Trump_neutral,Kamala_positive,Kamala_negative,Kamala_neutral,Pence_positive,Pence_negative,Pence_neutral,Biden_positive,Biden_negative,Biden_neutral,media_type,media_bias,bias_value,factual_reporting,factual_value,comment,country
thebillpalmer,3323,10,2919,14,9,10,0,0,57,0,95,24,12,website,left,-8.2,mixed,5.8,owner of Palmer Report,USA
msnbc,2331,8,656,34,15,4,6,0,2,3,236,90,198,TV station,left,-6.4,mixed,5.8,,USA
TheHill,2143,16,321,107,16,12,13,0,7,7,92,64,116,newspaper,least biased,0.4,mostly factual,2.2,,USA
Breitbart,1919,115,255,102,10,64,7,1,4,3,40,485,38,website,right,8.1,mixed,6.4,,USA
cnnpolitics,1762,15,854,237,9,1,14,0,11,10,52,26,76,TV station/website,left-center,-3.6,mostly factual,3.7,politics branch of CNN (row 39),USA
PalmerReport,1658,6,1457,6,5,5,0,0,29,0,47,15,5,website,left,-8.2,mixed,5.8,,USA
politico,1504,8,377,177,9,6,13,1,11,6,49,57,127,website,left-center,-2.8,high,1.3,,USA
TheYoungTurks,1460,5,649,34,16,19,13,0,43,6,25,60,49,TV station,left,-7.5,mixed,4.6,,USA
Newsweek,1171,22,358,158,5,6,10,0,4,5,33,48,51,magazine,right-center,2.8,mostly factual,2.6,,USA
NBCNews,1156,7,118,46,8,2,15,0,0,3,123,71,151,TV station,left-center,-3.6,high,1.0,,USA
beingliberal.org,1143,2,291,43,4,4,3,0,9,4,49,24,29,website,left,,mixed,,,USA
yahoonews,946,14,327,88,5,4,4,0,3,6,31,40,31,website,left-center,-3.3,high,1.9,,USA
ABCNewsPolitics,930,14,203,92,8,6,15,0,5,15,39,22,95,TV station,left-center,-3.3,high,1.1,politics branch of ABCNews,USA
thelibertyloft,870,27,110,6,0,20,1,0,0,0,10,313,18,website,far right,8.4,mixed,6.3,,USA
ABCNews,843,9,156,98,6,3,12,0,2,14,39,8,93,TV station,left-center,-3.3,high,1.1,,USA
HuffPostPolitics,790,8,347,49,5,5,4,0,9,2,19,45,31,website,left,-6.4,mixed,4.6,politics branch of HuffPost (or Huffington Post) (row 105). I used those values,USA
insiderpolitics,765,6,219,104,3,3,7,0,1,4,26,22,46,website,left-center,-3.6,high,1.0,politics branch of businessinsider (row 45),USA
businessinsider,746,9,203,99,1,2,6,0,2,3,20,27,46,website,left-center,-3.3,mostly factual,2.3,,USA
HuffPost,745,10,395,45,6,4,3,0,16,1,15,34,18,website,left,-6.4,mixed,4.6,,USA
nytimes,733,2,100,34,14,4,18,1,12,7,38,20,71,newspaper,left-center,-4.1,high,1.4,,USA
DailyWire,732,18,91,15,0,32,1,0,0,1,9,178,21,website,right,7.2,mixed,5.9,,USA
TennesseeStar,722,26,104,150,0,5,1,0,1,4,8,61,44,website,right,7.0,mixed,6.1,,USA
8News,713,18,188,203,1,1,7,0,1,11,7,7,24,TV station,least biased,-0.6,high,1.0,,USA
insiderdefense,709,6,204,89,3,2,7,0,1,2,22,23,40,website,left-center,-3.3,mostly factual,2.3,defense branch of business insider,USA
TND,692,22,190,145,2,2,5,0,1,5,33,24,44,TV station/website,right-center,2.4,high,1.2,,USA
newshour,689,6,107,110,7,2,18,0,1,8,26,10,91,TV station,left-center,-2.4,high,1.0,,USA
